Subject,Object,Relationship
'S,IT,nsubj
received,degree,dobj
received,he,nsubj
received,group,nsubj
received,grant,dobj
received,financing,dobj
received,family,nsubj
received,emails,dobj
received,email,dobj
received,contracts,dobj
received,information,dobj
received,company,nsubj
received,commission,dobj
received,classroom,dobj
received,charges,dobj
received,call,dobj
received,bill,nsubj
received,bids,dobj
received,individuals,nsubj
received,inmates,nsubj
receive,healthcare,dobj
received,news,dobj
received,recommendation,dobj
received,project,nsubj
received,prize,dobj
received,praise,dobj
received,outpouring,dobj
received,orders,dobj
received,notice,dobj
received,millions,dobj
received,inquiries,dobj
received,messages,dobj
received,memoranda,dobj
received,members,nsubj
received,man,nsubj
received,m,dobj
received,iwi,nsubj
received,it,nsubj
received,attention,dobj
received,areas,nsubj
received,appointment,dobj
receive,thirds,nsubj
received,Authorities,nsubj
received,All,nsubj
received,Alexander,nsubj
received,ALLEGATIONS,nsubj
received,4,dobj
received,"100,000",dobj
receive,treatment,dobj
receive,they,nsubj
received,amount,nsubj
receive,support,dobj
receive,projects,nsubj
receive,plight,nsubj
receive,permission,dobj
receive,pensions,dobj
receive,participants,nsubj
receive,money,dobj
received,Award,dobj
received,DRA,nsubj
received,Division,nsubj
received,Edwin,nsubj
received,aid,dobj
received,accommodation,dobj
received,acclaim,dobj
received,Wong,nsubj
received,Wei,nsubj
received,Teng,nsubj
received,Singapore,nsubj
received,SFA,nsubj
received,RoamAssist,nsubj
received,Png,nsubj
received,Member,nsubj
received,INTRODUCTION,nsubj
received,I,nsubj
received,"HK$3,000",dobj
received,Force,nsubj
received,reply,dobj
received,report,dobj
received,reports,dobj
recognise,need,dobj
recognised,killings,dobj
recognised,WASHINGTON,nsubj
recognised,Selk’nam,dobj
recognised,Congress,nsubj
recognise,you,nsubj
recognise,sides,nsubj
recognise,pain,dobj
recognise,features,dobj
recite,prayer,dobj
recognise,fans,nsubj
recognise,doctors,nsubj
recognise,Jjimdak,dobj
recognise,Israel,dobj
recognise,China,dobj
reckons,Winata,nsubj
reckons,Chantalle,nsubj
recognised,some,nsubj
recognised,victory,dobj
recognises,Soh,nsubj
recognises,artists,dobj
recommended,bidder,dobj
recommended,award,dobj
recommended,PD,nsubj
recommended,HCC,nsubj
recommended,Engineer,nsubj
recommended,Committee,nsubj
recommended,Board,nsubj
recommended,Bahel,nsubj
recognizes,market,nsubj
recognizes,Nvidia,dobj
recognized,leaders,dobj
recognising,parts,dobj
recognising,councils,dobj
recognises,government,nsubj
recognises,award,nsubj
reciting,Peep,dobj
recite,hijabs,nsubj
received,request,dobj
received,ticket,dobj
receives,Zayn,nsubj
received,work,nsubj
received,who,nsubj
received,we,nsubj
received,vendor,nsubj
received,treatment,dobj
received,total,nsubj
received,three,nsubj
recite,Quran,dobj
received,they,nsubj
received,that,dobj
received,text,dobj
received,sum,dobj
received,she,nsubj
received,sentences,dobj
received,response,dobj
receives,Zolgensma,dobj
receives,signals,dobj
receiving,Award,dobj
receiving,calls,dobj
recite,Francis,nsubj
reciprocates,visit,nsubj
reciprocates,trip,dobj
receiving,treatment,dobj
receiving,shot,dobj
receiving,reports,dobj
receiving,money,dobj
receiving,minutes,dobj
receiving,it,nsubj
receiving,investment,dobj
receiving,feedback,dobj
receiving,euros,dobj
receiving,employment,dobj
receiving,education,dobj
receiving,complaints,dobj
receive,kroner,dobj
receive,hand,dobj
recommended,doctor,nsubj
reaches,It,nsubj
reaching,million,dobj
reaching,decision,dobj
reaching,deal,dobj
reaching,billion,dobj
reaching,Poland,dobj
reaches,low,dobj
reaches,customers,dobj
reached,year,dobj
reacted,Andres,nsubj
reached,who,nsubj
reached,war,nsubj
reached,variant,nsubj
reached,trade,nsubj
reached,that,nsubj
reached,shores,dobj
reached,settlement,dobj
reaching,trade,nsubj
reacted,Icardi,nsubj
receive,extension,dobj
readies,fund,dobj
reads,one,nsubj
reads,line,nsubj
reads,WPV,nsubj
reading,reviews,dobj
reading,reports,dobj
reading,letters,dobj
readies,government,nsubj
read,words,dobj
reacted,NATO,nsubj
read,they,nsubj
read,that,nsubj
read,prayers,dobj
read,order,dobj
read,caption,nsubj
read,Bibi,nsubj
reacted,meme,dobj
reached,saturation,dobj
reached,relations,nsubj
reached,profitability,dobj
reach,level,dobj
reach,target,dobj
reach,station,dobj
reach,settlement,dobj
reach,round,dobj
reach,rank,dobj
reach,opportunities,dobj
reach,offs,dobj
reach,it,nsubj
reached,point,dobj
reach,him,dobj
reach,goal,dobj
